"Source:","I:\PCB\KiCad\MUONS v2\Muons_V3\Muons_SIPM.kicad_sch"
"Date:","30/04/2023 09:02:18"
"Tool:","Eeschema 7.0.1"
"Generator:","P:\PCB\KiCad60\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","75"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"B1, ","1","Blindage","Blindage_29.5","COMPOSANT_CF:Blindage_29.5","Blindage 29.5v",""
"C1, C3, C5, C7, C8, C11, C14, ","7","0.1ÂµF","C_Small","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor, small symbol",""
"C2, C9, ","2","1ÂµF","C_Small","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor, small symbol",""
"C4, ","1","22pF","C_Small","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor, small symbol",""
"C6, ","1","0.47ÂµF","C_Small","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor, small symbol",""
"C10, C15, ","2","10ÂµF","C_Small","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor, small symbol",""
"C12, ","1","10pF","C_Small","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor, small symbol",""
"C13, ","1","4.7nF","C_Small","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor, small symbol",""
"C16, ","1","100nF","C","COMPOSANT_CF:C_0805_Muons","Unpolarized capacitor",""
"Cn1, ","1","GND","TestPoint","COMPOSANT_CF:TestPoint_THTPad_4.75x3.7mm_Drill1.5mm","test point",""
"D1, D2, ","2","BAT54","D_Schottky","Diode_SMD:D_SOD-123","Schottky diode",""
"D3, ","1","D_Schottky","D_Schottky","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Schottky diode",""
"D4, D5, D6, ","3","MDB301","MDB301","Package_TO_SOT_SMD:SOT-23","30V 0.1A Small signal Schottky diode, SOT-23",""
"H1, H2, ","2","SiMP","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom","Mounting Hole with connection",""
"H3, H4, H5, H6, ","4","Board_SiMP","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad_TopBottom","Mounting Hole with connection",""
"J1, ","1","WM17457-ND","Conn_02x03_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x03_P2.54mm_Vertical","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","221790-1","221790-1","COMPOSANT_CF:TE_221790-1","",""
"J7, ","1","Conn_01x08_Socket","Conn_01x08_Socket","Connector_Molex:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical","Generic connector, single row, 01x08, script generated",""
"K1, ","1","G3VM-21GR1","G3VM-21GR1","COMPOSANT_CF:G3VM-21GR1","",""
"K2, ","1","G3VM-41DY","G3VM-41DY","COMPOSANT_CF:RELAY_G3VM-41DY","",""
"K3, ","1","G3VM-81UR","G3VM-81UR","COMPOSANT_CF:G3VM-81UR","",""
"L1, ","1","Ferrite Bead","L","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Inductor",""
"L2, ","1","47ÂµH","L","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","Inductor",""
"Q1, ","1","BMBT3904","PMBT3904","Package_TO_SOT_SMD:SOT-323_SC-70","0.8A Ic, 45V Vce, NPN Transistor, SOT-323",""
"Q2, ","1","BSS138","BSS138","Package_TO_SOT_SMD:SOT-23","50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23",""
"R1, R6, R13, R14, R16, R17, R18, ","7","10k","R_Small","COMPOSANT_CF:R_0805_Muons","Resistor, small symbol",""
"R2, ","1","226k","R_Small","COMPOSANT_CF:R_0805_Muons","Resistor, small symbol",""
"R3, R4, R8, R9, R15, R23, R24, R26, ","8","1k","R","COMPOSANT_CF:R_0805_Muons","Resistor",""
"R5, ","1","7.5k","R_Small","COMPOSANT_CF:R_0805_Muons","Resistor, small symbol",""
"R7, R22, ","2","100k","R","COMPOSANT_CF:R_0805_Muons","Resistor",""
"R10, R19, R20, R21, ","4","470","R_Small","COMPOSANT_CF:R_0805_Muons","Resistor, small symbol",""
"R11, ","1","4.7M","R_Small","COMPOSANT_CF:R_0805_Muons","Resistor, small symbol",""
"R12, R27, ","2","0","R","COMPOSANT_CF:R_0805_Muons","Resistor",""
"R25, ","1","3.3k","R","COMPOSANT_CF:R_0805_Muons","Resistor",""
"RV3, ","1","5k","R_Potentiometer_Trim","Potentiometer_SMD:Potentiometer_Bourns_3314G_Vertical","Trim-potentiometer",""
"U1, ","1","LT3461","LT3461","Package_TO_SOT_SMD:TSOT-23-6","1.2MHz White LED Drivers with Built-in Schottky, ThinSOT-23-6",""
"U2, ","1","AD823A","AD823A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Dual Operational Amplifiers, DIP-8/SOIC-8/TSSOP-8/VSSOP-8",""
"U3, U4, ","2","LT1806","LT1806","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Ultra-Low Offset/Drift, Low-Noise, Precision Amplifiers, SOIC-8",""
"U5, ","1","DS18B20","DS18B20","Package_TO_SOT_THT:TO-92_Inline","Programmable Resolution 1-Wire Digital Thermometer TO-92",""
"U7, ","1","LM311","LM311","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Voltage Comparator, DIP-8/SOIC-8",""
"U8, ","1","MAX988EUK+","MAX988EUK+","COMPOSANT_CF:SOT95P280X145-5N","",""
